transaction_id,user_id,transaction_date,amount,group
110,2767,2024-09-11,4891,A
111,695,2024-10-06,1321,B
112,3947,2024-09-20,7349,A
113,9699,2024-08-27,4244,A
114,3103,2024-10-28,3389,A
115,422,2024-08-23,3266,A
116,6087,2024-11-01,8559,A
117,3227,2024-09-26,6213,A
118,5054,2024-08-28,7013,B
119,2848,2024-09-23,8509,A
120,2778,2024-10-17,3975,B
121,7019,2024-10-01,9815,A
122,1772,2024-10-11,6224,A
123,7546,2024-09-29,8557,B
124,802,2024-11-07,8850,B
125,8881,2024-11-11,522,B
126,2935,2024-11-04,9035,A
127,8104,2024-11-04,3791,A
128,8821,2024-11-11,8346,B
129,3316,2024-08-22,6646,B
130,659,2024-09-28,7128,B
131,5189,2024-08-20,4865,A
132,3097,2024-11-04,4304,B
133,7549,2024-10-28,8442,A
134,5269,2024-09-17,9904,B
135,9526,2024-10-09,3207,A
136,6411,2024-09-17,670,A
137,8054,2024-10-13,8743,B
138,9830,2024-09-20,6961,A
139,6958,2024-08-30,1550,A
140,2539,2024-10-12,9697,A
141,8633,2024-08-20,5441,A
142,6131,2024-11-12,2347,B
143,478,2024-10-14,3911,A
144,9711,2024-09-02,6406,A
145,2285,2024-09-29,2645,A
146,5149,2024-10-03,758,A
147,9510,2024-09-16,5428,B
148,4732,2024-11-01,8601,B
149,7087,2024-09-07,5727,B
150,6261,2024-08-29,4846,A
151,3609,2024-09-12,8242,A
152,6028,2024-10-12,8978,B
153,9777,2024-11-04,7093,B
154,3192,2024-11-08,2955,A
155,5359,2024-09-19,1631,B
156,4556,2024-09-24,2319,A
157,912,2024-11-12,5166,A
158,7025,2024-09-04,7415,A
159,6054,2024-11-10,9518,A
160,2267,2024-11-15,3992,B
161,5,2024-09-28,6186,B
162,6683,2024-10-19,3841,B
163,6822,2024-09-01,1335,B
164,7719,2024-09-28,4992,B
165,9283,2024-09-23,2271,B
166,7375,2024-09-17,4604,A
167,5196,2024-09-03,2931,B
168,5182,2024-09-25,3512,B
169,6210,2024-11-05,1346,A
170,7804,2024-09-09,8377,B
171,9129,2024-09-20,4326,B
172,9398,2024-11-12,2634,B
173,5565,2024-08-28,2103,B
174,3689,2024-10-25,4864,B
175,9706,2024-09-15,5383,A
176,25,2024-09-26,3349,A
177,5030,2024-10-20,1961,B
178,416,2024-08-23,3313,A
179,8325,2024-10-23,1952,B
180,7559,2024-11-15,5154,B
181,6172,2024-09-25,5267,A
182,6874,2024-09-06,6390,A
183,5535,2024-11-15,2891,B
184,4149,2024-08-26,9292,B
185,537,2024-10-20,4650,B
186,4181,2024-10-11,829,A
187,6778,2024-11-10,8710,A
188,3861,2024-10-03,1729,B
189,1357,2024-11-14,9962,A
190,8444,2024-11-04,7916,A
191,3133,2024-09-04,6597,A
192,5803,2024-10-25,6263,B
193,9031,2024-10-23,5173,B
194,7815,2024-11-01,5951,A
195,123,2024-11-12,5394,A
196,1747,2024-08-27,1053,A
197,8955,2024-10-05,4830,B
198,4871,2024-08-21,3225,A
199,2051,2024-10-05,9535,A
200,1351,2024-09-10,2215,B
201,6191,2024-10-20,9609,A
202,5619,2024-09-15,1791,B
203,5022,2024-10-02,9702,A
204,5025,2024-08-26,1467,B
205,247,2024-09-23,1197,B
206,9965,2024-08-22,4147,A
207,2930,2024-11-01,9827,B
208,8102,2024-11-13,9797,A
209,1835,2024-09-12,6448,B
210,8572,2024-09-21,7399,B
211,4504,2024-09-17,1595,A
212,8413,2024-08-23,3048,B
213,6523,2024-08-29,1437,B
214,9171,2024-09-16,4490,A
215,155,2024-10-13,3802,A
216,3548,2024-09-05,2359,B
217,3393,2024-09-02,8570,B
218,7526,2024-10-30,4594,B
219,278,2024-10-20,6579,B
220,6977,2024-09-03,7086,B
221,7488,2024-09-18,2259,A
222,2909,2024-09-06,1894,B
223,3947,2024-10-09,9749,B
224,935,2024-10-19,2522,A
225,4912,2024-09-30,2000,A
226,7435,2024-10-19,8219,B
227,8744,2024-09-16,1666,A
228,4339,2024-09-29,3279,B
229,5462,2024-09-08,5021,A
230,7342,2024-11-06,2990,B
231,2772,2024-10-12,1246,A
232,4464,2024-08-26,1321,A
233,4693,2024-09-23,8224,A
234,7675,2024-10-14,7155,B
235,5556,2024-11-02,3068,B
236,4420,2024-08-22,3804,A
237,5202,2024-10-12,6941,B
238,7426,2024-08-24,582,B
239,9782,2024-11-02,9566,B
240,5661,2024-10-21,9792,A
241,562,2024-10-21,6480,A
242,7344,2024-10-13,2388,B
243,7302,2024-09-29,915,A
244,5896,2024-09-29,3083,B
245,1960,2024-09-02,8798,B
246,7592,2024-09-09,2557,A
247,1923,2024-10-08,540,A
248,8984,2024-11-06,5357,A
249,7123,2024-10-07,6491,B
250,4405,2024-10-26,7191,A
251,3024,2024-11-01,4492,A
252,1708,2024-09-26,6612,B
253,3742,2024-09-23,5534,A
254,5280,2024-10-09,8071,B
255,4552,2024-09-20,1493,B
256,5425,2024-10-27,1478,A
257,3852,2024-10-29,3814,A
258,3264,2024-09-02,6088,B
259,4761,2024-10-06,5593,B
260,721,2024-11-14,8534,B
261,4686,2024-09-01,3038,A
262,4956,2024-08-24,4532,A
263,8236,2024-10-16,7603,B
264,7328,2024-10-17,7400,A
265,641,2024-09-05,2991,B
266,4844,2024-11-13,4926,A
267,450,2024-08-30,5282,B
268,9571,2024-08-22,1944,A
269,8111,2024-10-28,2932,B
270,3543,2024-09-29,4311,B
271,4134,2024-11-15,5409,B
272,5404,2024-10-27,2279,A
273,4821,2024-10-22,6415,A
274,3683,2024-11-10,2714,A
275,9088,2024-09-16,3086,A
276,9366,2024-10-22,1206,A
277,7719,2024-10-25,8599,A
278,8421,2024-11-04,7817,B
279,3130,2024-08-21,1309,A
280,8216,2024-10-19,5472,B
281,9045,2024-08-23,3292,A
282,3464,2024-10-09,7908,B
283,3198,2024-10-19,3131,B
284,4958,2024-10-14,6318,A
285,4688,2024-10-30,9183,B
286,2214,2024-10-09,2230,B
287,4124,2024-09-26,6297,B
288,1770,2024-09-08,6680,B
289,8654,2024-11-10,3628,B
290,203,2024-09-02,1455,A
291,6957,2024-10-08,2160,B
292,7711,2024-11-08,7961,A
293,922,2024-09-18,5710,A
294,6975,2024-10-31,2695,A
295,6100,2024-11-03,9159,A
296,4398,2024-09-20,3680,B
297,1694,2024-10-10,6291,B
298,5582,2024-10-13,1020,A
299,3140,2024-11-12,7388,A
300,1704,2024-11-09,2581,B
301,5795,2024-09-24,782,A
302,1707,2024-09-08,7041,A
303,5279,2024-10-12,6336,B
304,7435,2024-09-15,6286,B
305,8421,2024-09-05,1012,B
306,2990,2024-11-13,782,A
307,9668,2024-10-16,7485,A
308,3776,2024-10-08,1877,A
309,5117,2024-10-31,8305,A
310,9564,2024-10-26,5696,A
311,6719,2024-11-14,8211,A
312,199,2024-09-09,3887,A
313,1493,2024-10-22,5874,A
314,6351,2024-08-30,9275,A
315,6028,2024-09-22,6869,B
316,4370,2024-10-04,4865,B
317,6584,2024-11-08,9871,B
318,2680,2024-11-07,3462,B
319,1313,2024-08-31,6890,B
320,2791,2024-09-19,3255,A
321,1690,2024-11-11,1433,A
322,3030,2024-09-26,1626,B
323,6996,2024-11-17,8532,A
324,7541,2024-10-24,2364,B
325,9006,2024-09-02,8457,B
326,1063,2024-09-17,5327,A
327,7012,2024-10-05,1695,A
328,8493,2024-10-06,9447,A
329,3150,2024-09-27,5405,B
330,7028,2024-09-08,9463,B
331,2886,2024-09-22,3455,A
332,2275,2024-08-27,1311,A
333,3570,2024-10-31,2141,A
334,78,2024-09-08,1113,B
335,3735,2024-10-21,5815,A
336,9940,2024-08-20,7366,B
337,3312,2024-09-29,3569,A
338,866,2024-09-23,6527,B
339,3236,2024-10-07,5117,A
340,4157,2024-11-11,5395,A
341,7619,2024-08-26,1616,B
342,7054,2024-10-22,5158,B
343,5057,2024-09-15,8982,B
344,7360,2024-09-01,7256,B
345,3315,2024-09-28,4235,A
346,8529,2024-11-13,896,B
347,57,2024-11-13,3755,B
348,9910,2024-09-21,3646,A
349,9798,2024-09-03,8865,A
350,4576,2024-08-20,3751,B
351,1105,2024-11-04,9737,A
352,5516,2024-10-11,4486,A
353,5512,2024-10-16,2553,B
354,7966,2024-09-07,6814,B
355,3314,2024-09-18,8359,B
356,3081,2024-11-02,6143,A
357,5138,2024-11-02,5789,B
358,7631,2024-10-31,5212,B
359,3018,2024-11-16,4223,B
360,9994,2024-10-13,6058,A
361,8030,2024-10-08,5630,B
362,7850,2024-08-23,8513,B
363,7463,2024-09-09,3421,B
364,3388,2024-08-26,5845,B
365,7227,2024-11-08,6801,A
366,8411,2024-10-24,5220,B
367,9309,2024-08-24,4323,B
368,5246,2024-09-26,6645,B
369,5931,2024-09-30,1299,A
370,5917,2024-09-25,636,B
371,2954,2024-09-26,3548,A
372,9525,2024-10-03,9130,A
373,5899,2024-10-25,3936,B
374,1114,2024-09-13,9872,A
375,1434,2024-09-24,2810,B
376,7913,2024-09-07,1553,A
377,1719,2024-10-25,5020,A
378,5187,2024-09-18,3755,A
379,4686,2024-10-06,5873,B
380,3812,2024-10-31,8409,B
381,3860,2024-11-10,3278,B
382,8776,2024-10-02,3527,B
383,2717,2024-10-01,8157,B
384,5925,2024-11-15,2363,A
385,3581,2024-10-16,597,A
386,1802,2024-11-01,4653,A
387,9101,2024-10-24,2156,B
388,9365,2024-10-03,2723,B
389,5854,2024-11-03,3890,A
390,8766,2024-10-02,3204,A
391,6527,2024-11-08,7264,B
392,2199,2024-11-12,7479,A
393,7145,2024-09-08,6521,B
394,5646,2024-09-27,2748,B
395,1152,2024-11-16,4876,B
396,791,2024-09-04,2229,A
397,1827,2024-08-20,2044,A
398,2650,2024-10-01,8781,A
399,6908,2024-08-31,2081,B
400,5076,2024-11-04,8286,A
401,8383,2024-10-08,9366,B
402,975,2024-11-08,2880,B
403,2883,2024-09-03,9414,B
404,9061,2024-10-13,3481,A
405,2162,2024-10-13,8422,A
406,5812,2024-09-03,6311,B
407,5222,2024-11-04,5493,A
408,7041,2024-09-07,2190,A
409,1848,2024-10-13,2706,B
410,540,2024-11-15,1375,B
411,4073,2024-10-27,7385,A
412,6170,2024-09-10,2122,A
413,9092,2024-08-31,9090,A
414,8346,2024-08-29,2101,A
415,8123,2024-10-09,9718,B
416,6176,2024-11-10,2926,A
417,7013,2024-10-16,7202,A
418,5182,2024-09-10,9163,A
419,4692,2024-09-17,1908,B
420,9116,2024-09-09,3514,B
421,3720,2024-10-08,1329,A
422,7603,2024-08-28,1030,A
423,7495,2024-10-26,3309,A
424,4739,2024-10-01,3373,B
425,4932,2024-09-23,5282,B
426,5145,2024-09-22,9321,A
427,1736,2024-10-28,8295,A
428,5892,2024-09-16,9296,B
429,1641,2024-10-05,7746,A
430,54,2024-09-06,8273,A
431,5852,2024-09-06,6905,B
432,1530,2024-11-17,4566,A
433,2825,2024-09-21,1852,B
434,714,2024-11-17,9220,A
435,2296,2024-11-07,1464,A
436,2205,2024-11-11,7039,B
437,3099,2024-10-17,4322,A
438,2375,2024-10-10,3833,B
439,8166,2024-09-05,3430,B
440,7584,2024-09-02,5301,A
441,10,2024-09-18,7412,A
442,3786,2024-11-03,1767,A
443,8698,2024-09-05,3612,B
444,447,2024-11-06,8472,A
445,5215,2024-08-27,2093,A
446,6811,2024-08-28,6970,A
447,3306,2024-09-11,5996,B
448,4724,2024-11-17,8163,A
449,7340,2024-08-24,9546,B
450,1374,2024-08-22,9597,A
451,9593,2024-10-10,3602,B
452,3615,2024-09-23,2259,B
453,4207,2024-11-02,6861,B
454,9690,2024-09-08,6745,B
455,4024,2024-10-12,5740,B
456,547,2024-10-05,3951,B
457,2767,2024-11-12,2686,A
458,237,2024-08-20,4582,B
459,1569,2024-09-09,8375,A
460,9561,2024-11-02,3842,A
461,2442,2024-09-18,7790,B
462,3866,2024-10-11,7723,A
463,5541,2024-09-10,8503,B
464,4738,2024-09-12,5308,A
465,7758,2024-10-04,4425,A
466,8229,2024-11-07,3010,A
467,3946,2024-08-27,6507,A
468,5479,2024-08-31,8334,A
469,4933,2024-09-06,6209,B
470,1198,2024-09-17,7126,B
471,4959,2024-09-21,7244,B
472,3609,2024-08-21,7591,A
473,4636,2024-10-18,9216,B
474,1015,2024-09-08,9951,B
475,3314,2024-09-12,2912,B
476,2917,2024-09-08,7058,A
477,4299,2024-09-02,9544,A
478,7309,2024-09-16,4938,B
479,6818,2024-10-10,3699,A
480,988,2024-10-21,8463,A
481,3417,2024-09-04,1406,A
482,5502,2024-10-18,8867,B
483,9465,2024-09-07,4597,A
484,6956,2024-10-20,1838,A
485,1496,2024-11-10,4949,A
486,8048,2024-08-23,5880,A
487,3301,2024-09-18,9914,B
488,2797,2024-09-30,6979,A
489,1923,2024-09-12,614,B
490,1895,2024-09-04,1401,A
491,5705,2024-08-27,7315,A
492,4267,2024-09-03,8034,B
493,4358,2024-09-14,943,B
494,7721,2024-10-07,1106,B
495,920,2024-10-04,7271,A
496,8913,2024-09-29,7925,A
497,3202,2024-08-24,1342,B
498,2680,2024-09-26,8066,B
499,3893,2024-11-01,4595,A
500,1260,2024-10-14,1060,B
501,5688,2024-08-22,8297,B
502,6045,2024-11-06,1767,A
503,1142,2024-10-31,2687,A
504,4731,2024-08-31,2039,A
505,5489,2024-10-20,3780,A
506,9924,2024-11-13,5260,A
507,7067,2024-10-25,1243,B
508,3643,2024-08-24,9290,A
509,3314,2024-11-16,4108,B
510,5680,2024-09-16,8720,A
511,4112,2024-11-12,7098,A
512,5018,2024-10-02,6676,A
513,6444,2024-09-24,5290,A
514,2180,2024-08-21,6330,B
515,2368,2024-10-04,7311,A
516,7204,2024-10-17,927,B
517,4169,2024-08-29,4561,A
518,965,2024-08-26,9575,A
519,9064,2024-08-28,7029,A
520,3848,2024-09-02,6653,B
521,9704,2024-09-19,9235,A
522,2606,2024-08-25,6919,B
523,6439,2024-09-12,2561,B
524,251,2024-09-11,7144,B
525,3802,2024-10-09,672,B
526,3595,2024-10-23,2156,A
527,7984,2024-08-24,1549,B
528,2489,2024-11-12,2508,A
529,1993,2024-09-02,4638,B
530,3549,2024-10-10,4870,B
531,282,2024-09-19,6968,B
532,3525,2024-11-03,3305,A
533,9251,2024-10-14,2567,A
534,8480,2024-09-28,6544,A
535,2718,2024-11-06,8686,A
536,8180,2024-10-06,2657,A
537,6574,2024-09-06,3508,B
538,2806,2024-08-20,7558,B
539,716,2024-09-25,1421,B
540,3006,2024-10-09,6893,A
541,4218,2024-09-26,1855,B
542,8007,2024-11-01,5770,B
543,2465,2024-10-15,9490,B
544,8214,2024-09-01,8131,A
545,7747,2024-09-26,2684,B
546,693,2024-09-01,6223,A
547,3938,2024-09-25,9395,A
548,1065,2024-10-06,8968,A
549,8039,2024-10-09,9987,B
550,1414,2024-11-06,9659,A
551,9093,2024-10-11,3426,B
552,9871,2024-09-27,647,B
553,6320,2024-11-11,7497,B
554,6979,2024-11-13,8146,A
555,8426,2024-09-29,8389,A
556,8828,2024-10-11,1701,B
557,1051,2024-10-27,8383,B
558,3659,2024-10-11,9202,A
559,8534,2024-09-28,2744,A
560,6716,2024-11-14,3477,B
561,7645,2024-11-10,4331,B
562,4620,2024-10-01,1843,B
563,2707,2024-09-25,9566,B
564,5644,2024-10-09,4569,B
565,514,2024-11-08,1287,B
566,6035,2024-09-18,7689,B
567,192,2024-08-20,6971,B
568,9768,2024-10-03,7207,A
569,7239,2024-10-26,639,B
570,3410,2024-11-10,4527,B
571,4003,2024-10-27,7176,A
572,3514,2024-08-31,2167,A
573,7452,2024-10-10,2784,A
574,5609,2024-09-15,6247,B
575,5557,2024-09-30,1667,B
576,259,2024-10-19,3579,B
577,5486,2024-09-17,8662,A
578,3769,2024-09-20,6343,A
579,9858,2024-10-06,6129,B
580,1357,2024-10-26,4370,A
581,270,2024-09-22,9395,A
582,3101,2024-10-14,7918,B
583,5429,2024-10-16,6180,A
584,3421,2024-09-29,9622,B
585,9749,2024-08-25,5683,A
586,3668,2024-10-04,4332,A
587,8590,2024-10-08,2240,A
588,5491,2024-11-12,8004,A
589,8923,2024-09-18,6983,A
590,9305,2024-08-22,3113,B
591,5909,2024-08-26,3551,A
592,8634,2024-10-14,7580,A
593,9154,2024-11-13,4851,A
594,8874,2024-09-26,5017,A
595,1080,2024-11-13,7680,B
596,1561,2024-10-17,5810,A
597,1563,2024-08-22,7532,A
598,6222,2024-09-25,7197,A
599,4672,2024-09-01,1986,A
600,2867,2024-11-16,5163,A
601,3767,2024-10-27,600,A
602,1818,2024-08-20,3854,A
603,4283,2024-10-15,5506,B
604,1632,2024-08-25,3539,A
605,3015,2024-11-10,527,A
606,9329,2024-11-01,7961,B
607,288,2024-09-25,3315,A
608,4408,2024-09-14,9404,A
609,5712,2024-11-02,1174,B
610,5695,2024-11-17,3285,B
611,5335,2024-09-17,3486,B
612,3330,2024-11-01,4263,B
613,4320,2024-08-28,1751,B
614,4371,2024-10-17,3746,B
615,1279,2024-09-01,3200,B
616,8680,2024-10-14,1818,B
617,8147,2024-08-20,5768,B
618,4008,2024-08-24,1292,B
619,9707,2024-10-07,945,B
620,1397,2024-08-20,9403,B
621,3771,2024-10-11,3748,B
622,8952,2024-10-26,7115,B
623,3942,2024-08-22,4590,A
624,675,2024-09-29,5354,A
625,7895,2024-08-21,8576,B
626,5925,2024-11-11,9292,A
627,6807,2024-10-10,9811,A
628,3746,2024-11-16,3890,A
629,6350,2024-08-26,1904,A
630,9081,2024-10-14,7809,B
631,7437,2024-10-05,9698,B
632,5460,2024-09-11,2586,B
633,9143,2024-10-15,9015,B
634,1919,2024-10-27,9057,A
635,3067,2024-11-06,8310,B
636,5731,2024-10-09,7349,A
637,9306,2024-08-21,8480,B
638,6991,2024-10-05,8796,B
639,1012,2024-09-03,4456,A
640,6240,2024-10-15,7834,B
641,4017,2024-08-23,2663,B
642,7472,2024-10-07,5335,B
643,5524,2024-09-17,9631,B
644,5541,2024-09-22,7698,B
645,5764,2024-08-21,1478,B
646,7303,2024-10-17,4677,B
647,9209,2024-11-15,3033,B
648,4942,2024-09-02,7235,A
649,6493,2024-09-13,2218,B
650,2781,2024-10-29,4449,B
651,2677,2024-10-23,2494,A
652,406,2024-11-07,3278,B
653,1196,2024-09-15,6223,A
654,4143,2024-10-02,7825,B
655,6660,2024-10-06,7354,A
656,1965,2024-11-03,4364,A
657,9913,2024-08-26,6626,B
658,8854,2024-10-13,5184,B
659,6888,2024-11-03,7857,A
660,8041,2024-10-20,5080,A
661,6436,2024-10-18,3558,B
662,6211,2024-10-20,7097,A
663,8344,2024-09-11,4784,A
664,8001,2024-09-12,7715,B
665,5330,2024-08-25,4585,A
666,1050,2024-09-29,8700,B
667,6547,2024-08-21,3340,B
668,8772,2024-10-13,1769,B
669,3364,2024-10-19,4277,B
670,8882,2024-11-08,3227,B
671,1281,2024-09-19,2512,A
672,1565,2024-10-10,9025,B
673,6749,2024-10-31,910,B
674,4537,2024-08-20,7746,B
675,5115,2024-11-08,7895,A
676,2370,2024-08-24,7336,A
677,9517,2024-09-11,5146,B
678,5045,2024-09-20,9422,A
679,6241,2024-09-01,1204,B
680,1556,2024-10-13,7811,B
681,15,2024-11-13,6952,A
682,2691,2024-09-14,2777,B
683,636,2024-10-09,5254,B
684,3639,2024-10-29,9131,B
685,2299,2024-10-21,3809,B
686,9901,2024-09-23,6300,A
687,1164,2024-09-07,1288,A
688,7657,2024-08-30,784,B
689,3088,2024-09-11,2426,B
690,9103,2024-09-23,6348,B
691,2107,2024-10-23,2461,B
692,3667,2024-09-16,6567,B
693,6929,2024-11-01,4074,B
694,5311,2024-10-28,4487,A
695,3600,2024-10-12,6534,B
696,307,2024-10-19,681,B
697,3536,2024-09-05,6549,B
698,3456,2024-09-07,8818,A
699,9935,2024-10-13,3642,A
700,3320,2024-10-03,5363,B
701,8454,2024-11-01,9104,A
702,729,2024-09-07,7173,A
703,9389,2024-11-02,7328,A
704,9898,2024-11-03,2665,B
705,371,2024-08-22,6713,A
706,2239,2024-09-13,1661,A
707,1544,2024-11-01,5695,B
708,9143,2024-11-02,4235,A
709,5652,2024-10-16,1129,A
710,7581,2024-10-25,1293,A
711,1756,2024-09-05,9434,B
712,8187,2024-09-21,892,B
713,9600,2024-09-12,3614,B
714,1316,2024-10-20,2318,B
715,4619,2024-09-13,8805,A
716,6828,2024-11-17,6968,A
717,7675,2024-10-22,9441,B
718,7259,2024-08-24,2340,A
719,1683,2024-08-22,6469,B
720,7218,2024-10-08,9733,B
721,9966,2024-11-17,4191,B
722,6935,2024-09-13,8305,B
723,7278,2024-08-21,7913,A
724,8927,2024-10-23,8312,B
725,1447,2024-11-05,4662,A
726,9406,2024-10-08,6684,A
727,4757,2024-10-20,1938,B
728,9262,2024-10-22,1522,B
729,289,2024-11-07,6225,B
730,7562,2024-11-01,2737,A
731,5578,2024-09-21,5403,A
732,4676,2024-08-26,9377,A
733,8193,2024-08-29,6621,B
734,3443,2024-10-23,1683,A
735,1682,2024-10-31,6264,A
736,5800,2024-09-08,7507,B
737,6447,2024-08-24,5523,A
738,9938,2024-09-12,2825,B
739,1746,2024-09-21,2865,A
740,4908,2024-10-25,7538,A
741,5953,2024-09-15,6935,B
742,4319,2024-09-15,4568,B
743,1410,2024-10-30,7952,B
744,8223,2024-09-18,7470,A
745,2878,2024-08-26,7057,A
746,6846,2024-09-26,1875,B
747,5474,2024-10-05,4712,A
748,3906,2024-08-27,9179,A
749,512,2024-09-01,6505,B
750,7142,2024-10-17,547,A
751,8913,2024-10-04,2056,A
752,4260,2024-10-25,9866,B
753,6183,2024-09-30,8660,B
754,9834,2024-09-03,3365,A
755,7628,2024-11-10,2807,A
756,5883,2024-09-13,923,B
757,7489,2024-10-06,8375,B
758,4633,2024-10-20,1366,A
759,588,2024-10-12,3282,B
760,920,2024-11-11,8394,A
761,4737,2024-10-01,5774,A
762,1710,2024-10-08,3127,B
763,6832,2024-11-02,4668,B
764,3724,2024-09-20,3443,A
765,6044,2024-09-23,7455,B
766,9271,2024-11-13,9010,A
767,6932,2024-09-30,5247,B
768,3924,2024-11-15,9559,A
769,9536,2024-09-29,8721,B
770,4094,2024-09-12,9761,B
771,7917,2024-10-01,5297,B
772,3843,2024-10-06,7174,A
773,984,2024-08-23,4982,B
774,2296,2024-10-09,3686,A
775,8092,2024-11-10,853,A
776,965,2024-11-12,4461,B
777,4678,2024-09-21,5718,A
778,7115,2024-09-10,3493,A
779,1774,2024-08-25,7527,B
780,7242,2024-08-30,1749,A
781,5904,2024-10-30,3050,B
782,7717,2024-10-10,7801,B
783,8392,2024-09-05,1971,B
784,1944,2024-10-22,4362,A
785,6074,2024-11-01,1524,B
786,7580,2024-09-11,4167,B
787,9084,2024-09-04,3867,A
788,7833,2024-09-06,1730,B
789,3220,2024-09-13,5815,B
790,8646,2024-11-06,8247,A
791,6779,2024-10-17,3050,B
792,3005,2024-08-23,2045,B
793,1039,2024-11-02,7724,A
794,2993,2024-10-10,3594,A
795,1827,2024-09-20,7411,A
796,6520,2024-10-13,2261,A
797,4935,2024-09-15,6519,B
798,1601,2024-10-02,8742,B
799,1238,2024-08-20,8288,A
800,9984,2024-10-28,9700,A
801,1860,2024-09-12,3811,B
802,7966,2024-09-17,7190,B
803,1691,2024-11-02,3483,A
804,1626,2024-10-05,8109,B
805,1705,2024-09-22,6014,B
806,5006,2024-09-05,5691,B
807,7152,2024-08-30,6100,A
808,2440,2024-08-30,3739,A
809,1783,2024-09-12,5892,A
810,8715,2024-11-17,4860,B
811,4322,2024-09-09,9652,A
812,6016,2024-11-11,811,A
813,5509,2024-10-07,1640,A
814,9795,2024-08-24,4875,A
815,1002,2024-08-29,6847,A
816,6044,2024-10-17,5439,A
817,3402,2024-09-18,2417,A
818,856,2024-11-17,6389,B
819,6523,2024-09-01,838,A
820,3074,2024-10-02,7843,B
821,5810,2024-10-29,8653,A
822,7538,2024-10-24,6402,A
823,5911,2024-09-12,8784,B
824,2783,2024-10-09,859,A
825,6041,2024-09-06,6942,B
826,9707,2024-10-12,1534,A
827,9481,2024-10-05,2344,B
